Название Магазина,Номер телефона,Адрес
Фабрика мебели Мебель.Ру,8 (800) 505-29-30,"115114, Москва, Кожевническая улица, 7, стр. 1"
Грация мебель,+7 (499) 394-57-49,"127282, Москва, ул. Широкая, 10"
Твой Стиль,"8 (926) 406-11-83, 8 (926) 406-12-83","Москва, ул. Тимура Фрунзе, 22"
Сhudo-magazin.ru,+7 (903) 724-60-28,"105523, Москва, Щелковское шоссе, 100"
Экспро Грейд,+7 (495) 920-09-54,"105120, Москва, ул. Нижняя Сыромятническая, 10, стр. 9"
"Шоу-Рум, мебельной фабрики «Элит-Гранд»",8 (917) 509-32-49,"143985, Москва, Каширское шоссе, 19, корп. 2, Торговый Комплекс «Каширский двор» 3 этаж"
Нет названия,Нет номера,Нет адресса
Кухни Arrital,+7 (499) 964-30-01,"Москва, ул. Трубецкая, 12 ЖК Садове Квартал"
Кухни Arrital,+7 (499) 964-30-11,"Москва, Пречистенская набережная, 17-19"
Уютная мебель,+7 (495) 774-87-69,"117148, Москва, ул. Маршала Савицкого, 28"
Зевс мебель,+7 (499) 499-07-97,"Дзержинский, ул. Энергетиков, 16"
СвитХоум Мебель,8 (965) 306-34-11,"Москва, ул. Сельскохозяйственная, 12А, с. 2"
Мебель С,+7 (499) 709-94-03,"Москва, Волоколамский проезд, 4, к.1"
ОПТДиван,+7 (499) 390-82-31,"Москва, улица 1-я Владимирская, 12 А"
Мебельная фабрика «Силуэт»,+7 (495) 151-16-60,"105275, Москва, Мажоров переулок, 14, c. 1"
"Строительная компания «Олимп», ООО",+7 (963) 768-55-96,"117545, Москва, ул. Дорожная, 3, к. 12, стр. 1"
Вудланд,8 (495) 215-11-78,"117218, Москва, ул. Островитянова, 9, корп. 4"
Lunadecor Лунадекор,+7 (915) 330-79-41,"123100, Москва, ул. Анатолия Живова, 6"
Аутлет Гранд,+7 (495) 780-33-33,"Химки, Бутаково, 4"
YM3,+7 (495) 641-55-14,"Москва, Леонтьевский переулок, 8, с. 1"
"Интернет-магазин ""3 кухни""",+7 (499) 398-16-90,"Москва, ул. Сущевский Вал, 9, ТЦ ""Каскад-мебель"", 2 этаж"
YM3,+7 (495) 641-55-14,"Москва, Леонтьевский переулок, 8с"
Хотэкс Hotel Technology,8 (495) 725-44-12,"119602, Москва, ул. Академика Анохина, 2, кор. 6"
"АРС+, ООО",+7 (903) 152-98-88,"Москва, ул. Мусы Джалиля, 7, к. 1"
Кухни Мила,+7 (495) 968-63-64,"Москва, Северный проезд, 1 (рынок Владимирский Тракт. Вход Линия 1, этаж 2, павильон П-3-21)"
Mimobili,+7 (925) 710-84-74,"Москва, ДНП Поселок Солнечный, 111"
Афика,8 (916) 779-50-30,"140060, Московская область, Люберецкий район, пгт. Октябрьский, улица Ленина, 47, ТЦ Текстиль профи"
"Мебельный салон ""Галатея""",+7 (495) 647-82-31,"143980, Балашиха, мкрн. Железнодорожный, ул. Советская, 9. ТЦ Эдельвейс Плюс, 5-й эт."
Компания «Фиорензо Мебель»,8 (495) 481-40-91,"125362, Москва, ул. Водников, 2"
"Центр мебели, ООО",+7 (499) 252-23-04,"123242, Москва, ул. Заморенова, 5, стр. 1"
"МебБелЛюкс, ООО",8 (495) 744-69-29,"117418, Москва, ул. Гарибальди, 29, к. 4"
"МебБелЛюкс, мебель для кухни на заказ от производителя",8 (495) 744-69-29,"117418, Москва, ул. Гарибальди, 29, к. 4"
Искона мебель,"+7 (800) 250-16-45, +7 (916) 664-29-68","143200, Можайск, ул. Мира, 14"
"РусМодерн, ООО",+7 (495) 177-69-13,"1142306, Московская область, Чехов, Симферопольское шоссе, строение 9, Дом Мебели, 2 этаж"
Лавацио,8 (495) 228-04-98,"117218, Москва, Нахимовский пр-кт, 24"
Оникс Полимер,8 (495) 105-90-25,"125252, Москва, ул. Гризодубовой, 2, оф. 4"
Palazzo Mobili,+7 (985) 21-000-31,"117292, Москва, ул. Дмитрия Ульянова, 6, корпус 1, офис 1"
Искона мебель,8 (800) 250-16-45,"143200, МО, Можайск, ул. Строителей, 1"
Интернет-магазин мебели ТерраМебель,"8 (999) 612-94-07, 8 (499) 649-60-39","117036, Москва м. Академическая, ул. Профсоюзная, 5/9"
Мастерская мебели LoftGrove,+7 (915) 339-02-75,"Москва, ул.1-Бухвостова, 12/11"
Энако,+7 (985) 828-19-79,"Москва, Нахимовский проспект, 24, павильон 3, стенд 453 (ЦДиИ ""Экспострой на Нахимовском"")"
Грани Стиля,+7 (495) 646-80-71,"Москва, п. Немчиновка, Советский пр-кт, 104"
Интернет-магазин Runohome,8 (800) 500-15-76,"105484, Москва, ул. 16-я Парковая, 30"
Искона мебель,8 (800) 250-16-45,"144000, Московская обл., Электросталь, ул. Корешкова, 3"
Искона мебель,"+7 (800) 250-16-45, +7 (985) 765-16-45","142400, Ногинск, ул. Комсомольская, 26, ТЦ «Ногинский»"
Моя Мебель,+7 (499) 322-88-32,"Москва, Пятницкое шоссе, 21, корпус 1"
"Буазери, Фабрика Интерьеров",+7 (495) 128‑02-39,"Москва, Кольская ул., 8, стр. 3"
"Мезонин, ООО","+7 (863) 270-11-32, +7 (863) 270-12-78","344064, Ростов-на-Дону, пер. Радиаторный, 4"
Мэбели.рф,+7 (961) 258-00-55,"129337, Москва, Ярославское шоссе, 19"
"ПТК ""Мэбели.рф""",+7 (961) 258-00-55,"129337, Москва, Ярославское шоссе, 19"
Нет названия,Нет номера,Нет адресса
Галерея 46,"+7 (812) 312-71-41, +7 (800) 555-08-46","190000, Санкт-Петербург, ул. Большая Морская, 46"
"Новое Измерение, ООО",+7 (495) 795-14-15,"127106, Москва, Гостиничный пр., 8, корпус 1, оф. 22, 1 этаж"
"Новое Измерение, ООО","+7 (495) 795-14-15, +7 (903) 795-14-15","127106, Москва, Гостиничный пр., 8, корпус 1, оф. 22, 1 этаж"
Интернет-магазин мебели «Мебельный Пилот»,+7 (920) 295-39-90,"Москва, ул. 2-я Хуторская, 38"
Первая Фабрика Мебели,+7 (495) 151-65-40,"111024, Москва, 2-я улица Энтузиастов, 5"
AValle,"+7 (495) 785-71-99, +7 (915) 090-48-48","125212, Москва, Кронштадтский бульвар, 9, стр. 1"
Мебель АС,+7 (499) 394-65-04,"Москва, Краснобогатырская ул., 90, стр. 1"
Нет названия,Нет номера,Нет адресса
Мебельная фабрика «Кондор»,+7 (901) 794-08-38,"Мытищи, Олимпийский пр-т, 29/1 (ТЦ ""Формат"")"
Zamm,+7 (495) 162-09-45,"Москва, ул. Расковой, 25"
"Микс, ООО",+7 (495) 339-03-11,"117133, Москва, ул. Академика Варги, 26Б"
Энли,+7 (499) 398-20-90,"115230, Москва, Каширское шоссе, 19, корп. 2, п 3-30"
Проект-Инжиниринг,+7 (495) 308-38-99,"108811, Москва, Киевское шоссе, 22 км, Мебель парк Румянцево"
Фабрика мебели «8 Марта»,+7 (495) 956-88-88,"125438, Москва, ул. Автомоторная, 6Б"
"Dolce Vita, элитная мебель","+7 (495) 912-20-83, 912-48-65","115172, Москва, ул. Большие Каменщики, 6"
"Мебель на заказ ""Пуф""",+7 (929) 592-39-75,"127224, Москва, ул. Осташковская, 16"
Интернет-магазин «BaumbArt»,+7 (495) 142-68-84,"142717, Московская область, Ленинский район, д. Апаринки"
Интернет-магазин «BaumbArt»,+7 (495) 142-68-84,"Московская область, Мытищи, Осташковское шоссе, вл. 2, с. 1"
Кухни для Вас,+7 (926) 565-52-10,"142003, Домодедово, ул. Лунная, 29, офис 7"
Пан-Распил,+7 (916) 691-05-86,"108824, поселение Рязановское, пос. Фабрики им. 1 мая, 24, стр. 1"
Компания ФасКухни,+7 (495) 989-83-63,"Москва, 6-ая Радиальная, 24, стр. 2"
Get-Wood.ru,"+7 (8482) 62-18-66, +7 (985) 487-09-34","Москва, ул. Рябиновая, 37, стр. 1"
Мебель и фурнитура,+7 (495) 278-02-65,"\Москва, ул. Тимирязевская, 2/3"
Юмир,+7 (499) 288-26-38,"111123, Москва, шоссе Энтузиастов, 31, стр. 36"
"Nice-Kitchen, кухни на заказ",+7 916 012-18-60,"Москва, Боровское шоссе, 51"
"Pride, мебельные туры","+7 (499) 348-18-86, +7 (800) 775-28-95","105122, Москва, Щёлковское шоссе, 2-111"
"KSV, мебель на заказ",+7 495 755-70-26,"Москва, Фрунзенская набережная, 30 павильон 40 2-й этаж"
"Nice-Kitchen, кухни на заказ",+7 916 012-18-60,"Москва, Боровское шоссе, 51с1"
Стилькухни,+7 (499) 394-67-05,"Москва, метро Теплый Стан, ул. Профсоюзная, 129, ТЦ Принц Плаза (центральный вход на панорамном лифте 5 этаж)"
ForestGum,+7 495 125-30-24,"127106, Москва, Гостиничная улица, 4к9"
Ариани,8 495 728-24-64,"Москва, Осенний бульвар, 15"
"М-Компани, мебельные фасады",+7 917 509-32-49,"143985, Московская область, Балашиха, мкр. Саввино, ул. Промышленная, 44, офис 3"
Московская Фабрика Мебели,8 (800) 333-94-96,"125167, Москва, Ленинградский проспект, 47С2"
"Магазин итальянской мебели ""ItalianMobili""",+7 (495) 227-35-33,"115191, Москва, ул.Большая Тульская, 46, стр. 1, ROOM 301"
The furny,8-800-222-17-48,"Москва, ул. Иркутская, 3, стр. 6"
Radius-line,+7(495)278-07-70,"125167, Москва, Ленинградский пр-т, 37 Б, ТЦ «Старт», 3 эт., салон 10 «Б»"
"Перетяжка мебели ""Комфорт""",8 (495) 532-60-73,"Москва, ул. Парковая 3я, 41А"
"Mirabelle, студия мебели",+7 905 061-87-14,"108814, улица Александры Монаховой поселение Сосенское, Москва,"
PrivateRoom,+7 (905) 536-76-76,"Ленинградское ш., 5/40, Химки, Московская обл., Россия, 141402"
Родос,+7 (495) 989-45-82,"143985, Балашиха, ул. Автозаводская, 20"
